Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C5",0805,4,0.1uF,
C4,0805,1,10uF,
C7,CAPAE530X550N,1,47uF,
IC1,SOIC127P600X175-8N,1,THVD1420DR,
J1,PinHeader_1x03_P2.54mm_Vertical,1,LED Strip,
J2,PinHeader_1x03_P2.54mm_Vertical,1,UPDI,
J5,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,12V,
J6,8P8C RA RJ45 Jack,1,RS-485 Jack,
PS1,SOT95P237X112-3N,1,TLV76050DBZR,
"R1, R2",0805,2,10K,
R3,0805,1,330,
U1,TSSOP-14_4.4x5mm_P0.65mm,1,ATtiny3224-X,
