Designator,Mid X,Mid Y,Rotation,Layer
C1,159.1375,-87.1,0.0,top
C2,159.1375,-81.1,0.0,top
C3,158.1,-66.55,270.0,bottom
C4,160.2,-66.55,270.0,bottom
C5,154.7,-79.6,90.0,top
C7,148.8,-91.375,180.0,top
IC1,152.1,-84.6,0.0,top
J1,142.5,-90.96,180.0,top
J2,142.5,-82.1,0.0,top
J5,157.6,-91.375,0.0,top
J6,152.31,-73.06,180.0,top
PS1,159.1825,-84.1,0.0,top
R1,147.3,-85.8,270.0,top
R2,149.7,-80.2,180.0,top
R3,145.3,-85.8,270.0,top
U1,152.1,-68.2,270.0,bottom
