Designator,Mid X,Mid Y,Rotation,Layer
C5,27.7,31.4,0.0,top
C6,27.7,40.65,0.0,top
D4,15.85,35.25,0.0,top
D5,15.85,44.5,0.0,top
IC3,29.35,35.25,180.0,top
IC4,29.35,44.5,180.0,top
J1,32.5,52.5,270.0,bottom
J2,8.305,39.8,270.0,top
R11,22.75,33.63,180.0,top
R12,22.75,36.87,180.0,top
R13,19.2,35.25,270.0,top
R14,22.75,42.88,180.0,top
R15,22.75,46.12,180.0,top
R16,19.2,44.5,270.0,top
R3,35.15,35.885,0.0,top
R4,35.15,33.345,180.0,top
R5,35.15,45.135,0.0,top
R6,35.15,42.595,180.0,top
